"scenario","year","biomass","species"
"Status quo",2100,0.1486105,"Cephalopoda"
"RCP 2.6",2100,0.2324116,"Cephalopoda"
"RCP 4.5",2100,0.06001938,"Cephalopoda"
"RCP 8.5",2100,0.003812828,"Cephalopoda"
"Status quo",2100,4.556446,"Panulirus spp."
"RCP 2.6",2100,2.487189,"Panulirus spp."
"RCP 4.5",2100,0.8104744,"Panulirus spp."
"RCP 8.5",2100,1.018728e-12,"Panulirus spp."
"Status quo",2100,15.29384,"Benthic macroinvertebrates"
"RCP 2.6",2100,20.17907,"Benthic macroinvertebrates"
"RCP 4.5",2100,12.06522,"Benthic macroinvertebrates"
"RCP 8.5",2100,3.863269,"Benthic macroinvertebrates"
"Status quo",2100,27.26703,"Benthic microinvertebrates"
"RCP 2.6",2100,23.91593,"Benthic microinvertebrates"
"RCP 4.5",2100,22.17474,"Benthic microinvertebrates"
"RCP 8.5",2100,4.208368,"Benthic microinvertebrates"
"Status quo",2100,0.7303506,"Siderastrea stellata"
"RCP 2.6",2100,0.7118028,"Siderastrea stellata"
"RCP 4.5",2100,0.2477698,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2517972,"Zooplankton"
"RCP 2.6",2100,0.2689991,"Zooplankton"
"RCP 4.5",2100,0.3447437,"Zooplankton"
"RCP 8.5",2100,0.4172412,"Zooplankton"
"Status quo",2100,0.1168361,"Phytoplankton"
"RCP 2.6",2100,0.1217926,"Phytoplankton"
"RCP 4.5",2100,0.09828462,"Phytoplankton"
"RCP 8.5",2100,0.04910793,"Phytoplankton"
"Status quo",2100,231.5278,"Digenea simplex"
"RCP 2.6",2100,225.3318,"Digenea simplex"
"RCP 4.5",2100,181.5033,"Digenea simplex"
"RCP 8.5",2100,95.74984,"Digenea simplex"
"Status quo",2100,751.8088,"Other algal turf"
"RCP 2.6",2100,770.3798,"Other algal turf"
"RCP 4.5",2100,742.6121,"Other algal turf"
"RCP 8.5",2100,506.3333,"Other algal turf"
"Status quo",2100,0.03922262,"Sea birds"
"RCP 2.6",2100,0.03202951,"Sea birds"
"RCP 4.5",2100,0.02049173,"Sea birds"
"RCP 8.5",2100,6.646364e-06,"Sea birds"
"Status quo",2100,0.08568943,"Turtles"
"RCP 2.6",2100,0.07795372,"Turtles"
"RCP 4.5",2100,0.04078284,"Turtles"
"RCP 8.5",2100,0.0001193987,"Turtles"
"Status quo",2100,0.2057236,"Cephalopoda"
"RCP 2.6",2100,0.2617936,"Cephalopoda"
"RCP 4.5",2100,0.2046334,"Cephalopoda"
"RCP 8.5",2100,1e-20,"Cephalopoda"
"Status quo",2100,3.87714,"Panulirus spp."
"RCP 2.6",2100,2.605872,"Panulirus spp."
"RCP 4.5",2100,0.8415785,"Panulirus spp."
"RCP 8.5",2100,2.0044e-13,"Panulirus spp."
"Status quo",2100,18.49224,"Benthic macroinvertebrates"
"RCP 2.6",2100,17.17463,"Benthic macroinvertebrates"
"RCP 4.5",2100,22.58685,"Benthic macroinvertebrates"
"RCP 8.5",2100,6.542725,"Benthic macroinvertebrates"
"Status quo",2100,21.18963,"Benthic microinvertebrates"
"RCP 2.6",2100,25.73265,"Benthic microinvertebrates"
"RCP 4.5",2100,23.63742,"Benthic microinvertebrates"
"RCP 8.5",2100,0.7549463,"Benthic microinvertebrates"
"Status quo",2100,0.6381565,"Siderastrea stellata"
"RCP 2.6",2100,0.7590179,"Siderastrea stellata"
"RCP 4.5",2100,0.2766287,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2225616,"Zooplankton"
"RCP 2.6",2100,0.2066403,"Zooplankton"
"RCP 4.5",2100,0.2820176,"Zooplankton"
"RCP 8.5",2100,0.6020071,"Zooplankton"
"Status quo",2100,0.1273351,"Phytoplankton"
"RCP 2.6",2100,0.113959,"Phytoplankton"
"RCP 4.5",2100,0.1035789,"Phytoplankton"
"RCP 8.5",2100,0.04364565,"Phytoplankton"
"Status quo",2100,208.4158,"Digenea simplex"
"RCP 2.6",2100,203.0466,"Digenea simplex"
"RCP 4.5",2100,183.5349,"Digenea simplex"
"RCP 8.5",2100,96.90752,"Digenea simplex"
"Status quo",2100,840.6964,"Other algal turf"
"RCP 2.6",2100,844.7708,"Other algal turf"
"RCP 4.5",2100,695.9075,"Other algal turf"
"RCP 8.5",2100,481.9192,"Other algal turf"
"Status quo",2100,0.01592497,"Sea birds"
"RCP 2.6",2100,0.03222554,"Sea birds"
"RCP 4.5",2100,0.02208251,"Sea birds"
"RCP 8.5",2100,0.0003247735,"Sea birds"
"Status quo",2100,0.07071378,"Turtles"
"RCP 2.6",2100,0.06497472,"Turtles"
"RCP 4.5",2100,0.05149932,"Turtles"
"RCP 8.5",2100,0.0005343108,"Turtles"
"Status quo",2100,0.2686312,"Cephalopoda"
"RCP 2.6",2100,0.2481773,"Cephalopoda"
"RCP 4.5",2100,0.2411505,"Cephalopoda"
"RCP 8.5",2100,0.07407832,"Cephalopoda"
"Status quo",2100,5.946216,"Panulirus spp."
"RCP 2.6",2100,1.777004,"Panulirus spp."
"RCP 4.5",2100,0.5815591,"Panulirus spp."
"RCP 8.5",2100,9.271361e-05,"Panulirus spp."
"Status quo",2100,16.28186,"Benthic macroinvertebrates"
"RCP 2.6",2100,16.45497,"Benthic macroinvertebrates"
"RCP 4.5",2100,17.16177,"Benthic macroinvertebrates"
"RCP 8.5",2100,7.223201,"Benthic macroinvertebrates"
"Status quo",2100,23.47425,"Benthic microinvertebrates"
"RCP 2.6",2100,24.44688,"Benthic microinvertebrates"
"RCP 4.5",2100,29.88201,"Benthic microinvertebrates"
"RCP 8.5",2100,4.271939,"Benthic microinvertebrates"
"Status quo",2100,0.6896726,"Siderastrea stellata"
"RCP 2.6",2100,0.634002,"Siderastrea stellata"
"RCP 4.5",2100,0.2649398,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2515062,"Zooplankton"
"RCP 2.6",2100,0.2052721,"Zooplankton"
"RCP 4.5",2100,0.3550353,"Zooplankton"
"RCP 8.5",2100,0.6030269,"Zooplankton"
"Status quo",2100,0.1276093,"Phytoplankton"
"RCP 2.6",2100,0.1158381,"Phytoplankton"
"RCP 4.5",2100,0.1029522,"Phytoplankton"
"RCP 8.5",2100,0.04507007,"Phytoplankton"
"Status quo",2100,205.033,"Digenea simplex"
"RCP 2.6",2100,192.4462,"Digenea simplex"
"RCP 4.5",2100,180.3165,"Digenea simplex"
"RCP 8.5",2100,87.44357,"Digenea simplex"
"Status quo",2100,817.1962,"Other algal turf"
"RCP 2.6",2100,726.5121,"Other algal turf"
"RCP 4.5",2100,780.1387,"Other algal turf"
"RCP 8.5",2100,532.7707,"Other algal turf"
"Status quo",2100,0.02402055,"Sea birds"
"RCP 2.6",2100,0.0165359,"Sea birds"
"RCP 4.5",2100,0.03686393,"Sea birds"
"RCP 8.5",2100,5.910056e-05,"Sea birds"
"Status quo",2100,0.07502639,"Turtles"
"RCP 2.6",2100,0.06267928,"Turtles"
"RCP 4.5",2100,0.04110263,"Turtles"
"RCP 8.5",2100,0.0001851367,"Turtles"
"Status quo",2100,0.2286212,"Cephalopoda"
"RCP 2.6",2100,0.1354032,"Cephalopoda"
"RCP 4.5",2100,0.1439186,"Cephalopoda"
"RCP 8.5",2100,4.194742e-05,"Cephalopoda"
"Status quo",2100,5.186718,"Panulirus spp."
"RCP 2.6",2100,2.422565,"Panulirus spp."
"RCP 4.5",2100,0.1034575,"Panulirus spp."
"RCP 8.5",2100,1.155337e-11,"Panulirus spp."
"Status quo",2100,21.28168,"Benthic macroinvertebrates"
"RCP 2.6",2100,13.29031,"Benthic macroinvertebrates"
"RCP 4.5",2100,12.97214,"Benthic macroinvertebrates"
"RCP 8.5",2100,13.43575,"Benthic macroinvertebrates"
"Status quo",2100,24.55525,"Benthic microinvertebrates"
"RCP 2.6",2100,26.8236,"Benthic microinvertebrates"
"RCP 4.5",2100,18.46412,"Benthic microinvertebrates"
"RCP 8.5",2100,0.3851977,"Benthic microinvertebrates"
"Status quo",2100,0.7366462,"Siderastrea stellata"
"RCP 2.6",2100,0.619231,"Siderastrea stellata"
"RCP 4.5",2100,0.3059672,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2207668,"Zooplankton"
"RCP 2.6",2100,0.2634862,"Zooplankton"
"RCP 4.5",2100,0.3548923,"Zooplankton"
"RCP 8.5",2100,0.7154576,"Zooplankton"
"Status quo",2100,0.1275401,"Phytoplankton"
"RCP 2.6",2100,0.1233248,"Phytoplankton"
"RCP 4.5",2100,0.09189096,"Phytoplankton"
"RCP 8.5",2100,0.04053375,"Phytoplankton"
"Status quo",2100,217.7428,"Digenea simplex"
"RCP 2.6",2100,200.6777,"Digenea simplex"
"RCP 4.5",2100,191.1511,"Digenea simplex"
"RCP 8.5",2100,90.63511,"Digenea simplex"
"Status quo",2100,768.8543,"Other algal turf"
"RCP 2.6",2100,829.2952,"Other algal turf"
"RCP 4.5",2100,718.4363,"Other algal turf"
"RCP 8.5",2100,516.7199,"Other algal turf"
"Status quo",2100,0.0274846,"Sea birds"
"RCP 2.6",2100,0.04034875,"Sea birds"
"RCP 4.5",2100,0.02713518,"Sea birds"
"RCP 8.5",2100,0.001209362,"Sea birds"
"Status quo",2100,0.0712871,"Turtles"
"RCP 2.6",2100,0.06253944,"Turtles"
"RCP 4.5",2100,0.05119012,"Turtles"
"RCP 8.5",2100,0.0002928425,"Turtles"
"Status quo",2100,0.2749388,"Cephalopoda"
"RCP 2.6",2100,0.2709289,"Cephalopoda"
"RCP 4.5",2100,0.1713553,"Cephalopoda"
"RCP 8.5",2100,1e-20,"Cephalopoda"
"Status quo",2100,3.083214,"Panulirus spp."
"RCP 2.6",2100,2.346799,"Panulirus spp."
"RCP 4.5",2100,0.2016115,"Panulirus spp."
"RCP 8.5",2100,9.39444e-20,"Panulirus spp."
"Status quo",2100,14.34479,"Benthic macroinvertebrates"
"RCP 2.6",2100,16.4956,"Benthic macroinvertebrates"
"RCP 4.5",2100,15.08483,"Benthic macroinvertebrates"
"RCP 8.5",2100,8.100709,"Benthic macroinvertebrates"
"Status quo",2100,22.62288,"Benthic microinvertebrates"
"RCP 2.6",2100,19.55126,"Benthic microinvertebrates"
"RCP 4.5",2100,17.50937,"Benthic microinvertebrates"
"RCP 8.5",2100,5.875587,"Benthic microinvertebrates"
"Status quo",2100,0.7283046,"Siderastrea stellata"
"RCP 2.6",2100,0.6562722,"Siderastrea stellata"
"RCP 4.5",2100,0.2532154,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2865516,"Zooplankton"
"RCP 2.6",2100,0.2283987,"Zooplankton"
"RCP 4.5",2100,0.2809969,"Zooplankton"
"RCP 8.5",2100,0.3707015,"Zooplankton"
"Status quo",2100,0.1264322,"Phytoplankton"
"RCP 2.6",2100,0.1152424,"Phytoplankton"
"RCP 4.5",2100,0.1083949,"Phytoplankton"
"RCP 8.5",2100,0.05274414,"Phytoplankton"
"Status quo",2100,214.2394,"Digenea simplex"
"RCP 2.6",2100,209.0162,"Digenea simplex"
"RCP 4.5",2100,182.2608,"Digenea simplex"
"RCP 8.5",2100,97.62514,"Digenea simplex"
"Status quo",2100,764.8374,"Other algal turf"
"RCP 2.6",2100,832.4255,"Other algal turf"
"RCP 4.5",2100,743.4361,"Other algal turf"
"RCP 8.5",2100,520.4402,"Other algal turf"
"Status quo",2100,0.03281109,"Sea birds"
"RCP 2.6",2100,0.02472223,"Sea birds"
"RCP 4.5",2100,0.0308991,"Sea birds"
"RCP 8.5",2100,9.872094e-09,"Sea birds"
"Status quo",2100,0.0874493,"Turtles"
"RCP 2.6",2100,0.06953219,"Turtles"
"RCP 4.5",2100,0.04313058,"Turtles"
"RCP 8.5",2100,0.0009718314,"Turtles"
"Status quo",2100,0.338053,"Cephalopoda"
"RCP 2.6",2100,0.2062568,"Cephalopoda"
"RCP 4.5",2100,0.1040874,"Cephalopoda"
"RCP 8.5",2100,6.759658e-14,"Cephalopoda"
"Status quo",2100,3.720852,"Panulirus spp."
"RCP 2.6",2100,4.348488,"Panulirus spp."
"RCP 4.5",2100,0.8996689,"Panulirus spp."
"RCP 8.5",2100,1.404937e-11,"Panulirus spp."
"Status quo",2100,17.74619,"Benthic macroinvertebrates"
"RCP 2.6",2100,17.96953,"Benthic macroinvertebrates"
"RCP 4.5",2100,18.187,"Benthic macroinvertebrates"
"RCP 8.5",2100,4.988442,"Benthic macroinvertebrates"
"Status quo",2100,27.15689,"Benthic microinvertebrates"
"RCP 2.6",2100,25.79808,"Benthic microinvertebrates"
"RCP 4.5",2100,19.86797,"Benthic microinvertebrates"
"RCP 8.5",2100,1.39235,"Benthic microinvertebrates"
"Status quo",2100,0.6695545,"Siderastrea stellata"
"RCP 2.6",2100,0.6078505,"Siderastrea stellata"
"RCP 4.5",2100,0.3515977,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2620711,"Zooplankton"
"RCP 2.6",2100,0.3043508,"Zooplankton"
"RCP 4.5",2100,0.282335,"Zooplankton"
"RCP 8.5",2100,0.4908088,"Zooplankton"
"Status quo",2100,0.1289644,"Phytoplankton"
"RCP 2.6",2100,0.1135086,"Phytoplankton"
"RCP 4.5",2100,0.1026816,"Phytoplankton"
"RCP 8.5",2100,0.04339975,"Phytoplankton"
"Status quo",2100,217.2285,"Digenea simplex"
"RCP 2.6",2100,192.7376,"Digenea simplex"
"RCP 4.5",2100,189.6391,"Digenea simplex"
"RCP 8.5",2100,91.43182,"Digenea simplex"
"Status quo",2100,783.3681,"Other algal turf"
"RCP 2.6",2100,757.9559,"Other algal turf"
"RCP 4.5",2100,812.364,"Other algal turf"
"RCP 8.5",2100,506.5744,"Other algal turf"
"Status quo",2100,0.02507651,"Sea birds"
"RCP 2.6",2100,0.02457061,"Sea birds"
"RCP 4.5",2100,0.033875,"Sea birds"
"RCP 8.5",2100,0.005732952,"Sea birds"
"Status quo",2100,0.07658404,"Turtles"
"RCP 2.6",2100,0.04533102,"Turtles"
"RCP 4.5",2100,0.04598172,"Turtles"
"RCP 8.5",2100,0.0003519286,"Turtles"
"Status quo",2100,0.3481474,"Cephalopoda"
"RCP 2.6",2100,0.1506288,"Cephalopoda"
"RCP 4.5",2100,0.1712542,"Cephalopoda"
"RCP 8.5",2100,0.1874877,"Cephalopoda"
"Status quo",2100,4.945546,"Panulirus spp."
"RCP 2.6",2100,1.899835,"Panulirus spp."
"RCP 4.5",2100,0.01564514,"Panulirus spp."
"RCP 8.5",2100,6.631906e-09,"Panulirus spp."
"Status quo",2100,15.78701,"Benthic macroinvertebrates"
"RCP 2.6",2100,21.61241,"Benthic macroinvertebrates"
"RCP 4.5",2100,11.45012,"Benthic macroinvertebrates"
"RCP 8.5",2100,4.204887,"Benthic macroinvertebrates"
"Status quo",2100,23.62451,"Benthic microinvertebrates"
"RCP 2.6",2100,22.68733,"Benthic microinvertebrates"
"RCP 4.5",2100,12.915,"Benthic microinvertebrates"
"RCP 8.5",2100,5.447493,"Benthic microinvertebrates"
"Status quo",2100,0.7394096,"Siderastrea stellata"
"RCP 2.6",2100,0.6410705,"Siderastrea stellata"
"RCP 4.5",2100,0.2907857,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2645791,"Zooplankton"
"RCP 2.6",2100,0.2376932,"Zooplankton"
"RCP 4.5",2100,0.2953692,"Zooplankton"
"RCP 8.5",2100,0.4552285,"Zooplankton"
"Status quo",2100,0.1171724,"Phytoplankton"
"RCP 2.6",2100,0.1200482,"Phytoplankton"
"RCP 4.5",2100,0.1006105,"Phytoplankton"
"RCP 8.5",2100,0.0483874,"Phytoplankton"
"Status quo",2100,212.835,"Digenea simplex"
"RCP 2.6",2100,222.1804,"Digenea simplex"
"RCP 4.5",2100,177.5511,"Digenea simplex"
"RCP 8.5",2100,87.23462,"Digenea simplex"
"Status quo",2100,741.3286,"Other algal turf"
"RCP 2.6",2100,825.3818,"Other algal turf"
"RCP 4.5",2100,777.4402,"Other algal turf"
"RCP 8.5",2100,519.4002,"Other algal turf"
"Status quo",2100,0.02271986,"Sea birds"
"RCP 2.6",2100,0.02990637,"Sea birds"
"RCP 4.5",2100,0.02428897,"Sea birds"
"RCP 8.5",2100,0.000472422,"Sea birds"
"Status quo",2100,0.07901845,"Turtles"
"RCP 2.6",2100,0.0780312,"Turtles"
"RCP 4.5",2100,0.03538339,"Turtles"
"RCP 8.5",2100,0.0003478158,"Turtles"
"Status quo",2100,0.2432377,"Cephalopoda"
"RCP 2.6",2100,0.2137913,"Cephalopoda"
"RCP 4.5",2100,0.03593514,"Cephalopoda"
"RCP 8.5",2100,0.1396628,"Cephalopoda"
"Status quo",2100,5.50449,"Panulirus spp."
"RCP 2.6",2100,1.607297,"Panulirus spp."
"RCP 4.5",2100,0.04794691,"Panulirus spp."
"RCP 8.5",2100,2.094305e-08,"Panulirus spp."
"Status quo",2100,15.83043,"Benthic macroinvertebrates"
"RCP 2.6",2100,14.63285,"Benthic macroinvertebrates"
"RCP 4.5",2100,13.78522,"Benthic macroinvertebrates"
"RCP 8.5",2100,4.173844,"Benthic macroinvertebrates"
"Status quo",2100,20.53491,"Benthic microinvertebrates"
"RCP 2.6",2100,17.87703,"Benthic microinvertebrates"
"RCP 4.5",2100,20.0903,"Benthic microinvertebrates"
"RCP 8.5",2100,8.908488,"Benthic microinvertebrates"
"Status quo",2100,0.7784376,"Siderastrea stellata"
"RCP 2.6",2100,0.5833843,"Siderastrea stellata"
"RCP 4.5",2100,0.323444,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2393865,"Zooplankton"
"RCP 2.6",2100,0.2722419,"Zooplankton"
"RCP 4.5",2100,0.3319514,"Zooplankton"
"RCP 8.5",2100,0.4681398,"Zooplankton"
"Status quo",2100,0.1246119,"Phytoplankton"
"RCP 2.6",2100,0.1161249,"Phytoplankton"
"RCP 4.5",2100,0.10416,"Phytoplankton"
"RCP 8.5",2100,0.04424546,"Phytoplankton"
"Status quo",2100,229.9604,"Digenea simplex"
"RCP 2.6",2100,211.6685,"Digenea simplex"
"RCP 4.5",2100,198.6875,"Digenea simplex"
"RCP 8.5",2100,99.41253,"Digenea simplex"
"Status quo",2100,743.9057,"Other algal turf"
"RCP 2.6",2100,792.4612,"Other algal turf"
"RCP 4.5",2100,731.9559,"Other algal turf"
"RCP 8.5",2100,484.5454,"Other algal turf"
"Status quo",2100,0.04106769,"Sea birds"
"RCP 2.6",2100,0.02618208,"Sea birds"
"RCP 4.5",2100,0.0290121,"Sea birds"
"RCP 8.5",2100,0.0007570884,"Sea birds"
"Status quo",2100,0.08539417,"Turtles"
"RCP 2.6",2100,0.06384336,"Turtles"
"RCP 4.5",2100,0.0404898,"Turtles"
"RCP 8.5",2100,0.0007767811,"Turtles"
"Status quo",2100,0.3684492,"Cephalopoda"
"RCP 2.6",2100,0.1986393,"Cephalopoda"
"RCP 4.5",2100,0.04359068,"Cephalopoda"
"RCP 8.5",2100,9.509538e-05,"Cephalopoda"
"Status quo",2100,3.270528,"Panulirus spp."
"RCP 2.6",2100,2.508695,"Panulirus spp."
"RCP 4.5",2100,0.4099004,"Panulirus spp."
"RCP 8.5",2100,9.699839e-15,"Panulirus spp."
"Status quo",2100,23.17959,"Benthic macroinvertebrates"
"RCP 2.6",2100,15.94948,"Benthic macroinvertebrates"
"RCP 4.5",2100,12.79407,"Benthic macroinvertebrates"
"RCP 8.5",2100,15.53559,"Benthic macroinvertebrates"
"Status quo",2100,21.422,"Benthic microinvertebrates"
"RCP 2.6",2100,29.67829,"Benthic microinvertebrates"
"RCP 4.5",2100,17.27946,"Benthic microinvertebrates"
"RCP 8.5",2100,1.593777,"Benthic microinvertebrates"
"Status quo",2100,0.8061724,"Siderastrea stellata"
"RCP 2.6",2100,0.7081738,"Siderastrea stellata"
"RCP 4.5",2100,0.2456653,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2249704,"Zooplankton"
"RCP 2.6",2100,0.2620684,"Zooplankton"
"RCP 4.5",2100,0.3661133,"Zooplankton"
"RCP 8.5",2100,0.5512877,"Zooplankton"
"Status quo",2100,0.1148041,"Phytoplankton"
"RCP 2.6",2100,0.1228369,"Phytoplankton"
"RCP 4.5",2100,0.1028349,"Phytoplankton"
"RCP 8.5",2100,0.04693454,"Phytoplankton"
"Status quo",2100,208.5639,"Digenea simplex"
"RCP 2.6",2100,204.742,"Digenea simplex"
"RCP 4.5",2100,198.8331,"Digenea simplex"
"RCP 8.5",2100,97.97794,"Digenea simplex"
"Status quo",2100,766.0499,"Other algal turf"
"RCP 2.6",2100,826.0049,"Other algal turf"
"RCP 4.5",2100,708.3011,"Other algal turf"
"RCP 8.5",2100,476.1448,"Other algal turf"
"Status quo",2100,0.01379549,"Sea birds"
"RCP 2.6",2100,0.03297291,"Sea birds"
"RCP 4.5",2100,0.02458236,"Sea birds"
"RCP 8.5",2100,1.104899e-19,"Sea birds"
"Status quo",2100,0.07698338,"Turtles"
"RCP 2.6",2100,0.06730729,"Turtles"
"RCP 4.5",2100,0.03311791,"Turtles"
"RCP 8.5",2100,9.533265e-05,"Turtles"
"Status quo",2100,0.1668927,"Cephalopoda"
"RCP 2.6",2100,0.3242593,"Cephalopoda"
"RCP 4.5",2100,0.06705203,"Cephalopoda"
"RCP 8.5",2100,0.001429344,"Cephalopoda"
"Status quo",2100,2.13695,"Panulirus spp."
"RCP 2.6",2100,1.146903,"Panulirus spp."
"RCP 4.5",2100,0.5026029,"Panulirus spp."
"RCP 8.5",2100,3.072768e-10,"Panulirus spp."
"Status quo",2100,15.7534,"Benthic macroinvertebrates"
"RCP 2.6",2100,17.4734,"Benthic macroinvertebrates"
"RCP 4.5",2100,13.53287,"Benthic macroinvertebrates"
"RCP 8.5",2100,2.925302,"Benthic macroinvertebrates"
"Status quo",2100,20.94797,"Benthic microinvertebrates"
"RCP 2.6",2100,20.81623,"Benthic microinvertebrates"
"RCP 4.5",2100,17.37014,"Benthic microinvertebrates"
"RCP 8.5",2100,1.934595,"Benthic microinvertebrates"
"Status quo",2100,0.8002132,"Siderastrea stellata"
"RCP 2.6",2100,0.809885,"Siderastrea stellata"
"RCP 4.5",2100,0.2908871,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.3001418,"Zooplankton"
"RCP 2.6",2100,0.2440333,"Zooplankton"
"RCP 4.5",2100,0.3652668,"Zooplankton"
"RCP 8.5",2100,0.557095,"Zooplankton"
"Status quo",2100,0.1310207,"Phytoplankton"
"RCP 2.6",2100,0.1218731,"Phytoplankton"
"RCP 4.5",2100,0.09970572,"Phytoplankton"
"RCP 8.5",2100,0.0463419,"Phytoplankton"
"Status quo",2100,209.293,"Digenea simplex"
"RCP 2.6",2100,205.6374,"Digenea simplex"
"RCP 4.5",2100,199.5579,"Digenea simplex"
"RCP 8.5",2100,94.98161,"Digenea simplex"
"Status quo",2100,759.6138,"Other algal turf"
"RCP 2.6",2100,794.7796,"Other algal turf"
"RCP 4.5",2100,800.1841,"Other algal turf"
"RCP 8.5",2100,486.4505,"Other algal turf"
"Status quo",2100,0.01743929,"Sea birds"
"RCP 2.6",2100,0.03698187,"Sea birds"
"RCP 4.5",2100,0.02404544,"Sea birds"
"RCP 8.5",2100,0.000933237,"Sea birds"
"Status quo",2100,0.09038984,"Turtles"
"RCP 2.6",2100,0.07167619,"Turtles"
"RCP 4.5",2100,0.0423588,"Turtles"
"RCP 8.5",2100,6.825579e-05,"Turtles"
"Status quo",2100,0.2048574,"Cephalopoda"
"RCP 2.6",2100,0.3510652,"Cephalopoda"
"RCP 4.5",2100,0.202511,"Cephalopoda"
"RCP 8.5",2100,5.210393e-11,"Cephalopoda"
"Status quo",2100,5.092746,"Panulirus spp."
"RCP 2.6",2100,3.138535,"Panulirus spp."
"RCP 4.5",2100,0.6632009,"Panulirus spp."
"RCP 8.5",2100,4.337334e-06,"Panulirus spp."
"Status quo",2100,16.68452,"Benthic macroinvertebrates"
"RCP 2.6",2100,20.68102,"Benthic macroinvertebrates"
"RCP 4.5",2100,16.75239,"Benthic macroinvertebrates"
"RCP 8.5",2100,3.171282,"Benthic macroinvertebrates"
"Status quo",2100,28.6355,"Benthic microinvertebrates"
"RCP 2.6",2100,25.62351,"Benthic microinvertebrates"
"RCP 4.5",2100,22.70386,"Benthic microinvertebrates"
"RCP 8.5",2100,8.364164,"Benthic microinvertebrates"
"Status quo",2100,0.6992154,"Siderastrea stellata"
"RCP 2.6",2100,0.6182415,"Siderastrea stellata"
"RCP 4.5",2100,0.2399713,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2863871,"Zooplankton"
"RCP 2.6",2100,0.2666581,"Zooplankton"
"RCP 4.5",2100,0.3279766,"Zooplankton"
"RCP 8.5",2100,0.386326,"Zooplankton"
"Status quo",2100,0.1317145,"Phytoplankton"
"RCP 2.6",2100,0.1203089,"Phytoplankton"
"RCP 4.5",2100,0.1025899,"Phytoplankton"
"RCP 8.5",2100,0.0515932,"Phytoplankton"
"Status quo",2100,211.64,"Digenea simplex"
"RCP 2.6",2100,205.0898,"Digenea simplex"
"RCP 4.5",2100,202.1367,"Digenea simplex"
"RCP 8.5",2100,97.65156,"Digenea simplex"
"Status quo",2100,817.243,"Other algal turf"
"RCP 2.6",2100,837.3231,"Other algal turf"
"RCP 4.5",2100,787.967,"Other algal turf"
"RCP 8.5",2100,503.7836,"Other algal turf"
"Status quo",2100,0.02525072,"Sea birds"
"RCP 2.6",2100,0.0206477,"Sea birds"
"RCP 4.5",2100,0.03597659,"Sea birds"
"RCP 8.5",2100,0.0001691394,"Sea birds"
"Status quo",2100,0.07462909,"Turtles"
"RCP 2.6",2100,0.07189996,"Turtles"
"RCP 4.5",2100,0.03968321,"Turtles"
"RCP 8.5",2100,0.0002652136,"Turtles"
"Status quo",2100,0.1571658,"Cephalopoda"
"RCP 2.6",2100,0.2065409,"Cephalopoda"
"RCP 4.5",2100,0.1415557,"Cephalopoda"
"RCP 8.5",2100,1.294988e-20,"Cephalopoda"
"Status quo",2100,2.451079,"Panulirus spp."
"RCP 2.6",2100,0.9380794,"Panulirus spp."
"RCP 4.5",2100,1.169997,"Panulirus spp."
"RCP 8.5",2100,8.065628e-17,"Panulirus spp."
"Status quo",2100,13.94447,"Benthic macroinvertebrates"
"RCP 2.6",2100,16.29457,"Benthic macroinvertebrates"
"RCP 4.5",2100,16.94917,"Benthic macroinvertebrates"
"RCP 8.5",2100,9.169308,"Benthic macroinvertebrates"
"Status quo",2100,22.47714,"Benthic microinvertebrates"
"RCP 2.6",2100,22.4818,"Benthic microinvertebrates"
"RCP 4.5",2100,22.03398,"Benthic microinvertebrates"
"RCP 8.5",2100,2.067992,"Benthic microinvertebrates"
"Status quo",2100,0.8444977,"Siderastrea stellata"
"RCP 2.6",2100,0.5611455,"Siderastrea stellata"
"RCP 4.5",2100,0.2271638,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.232979,"Zooplankton"
"RCP 2.6",2100,0.2941046,"Zooplankton"
"RCP 4.5",2100,0.2585013,"Zooplankton"
"RCP 8.5",2100,0.6855317,"Zooplankton"
"Status quo",2100,0.1223315,"Phytoplankton"
"RCP 2.6",2100,0.1229349,"Phytoplankton"
"RCP 4.5",2100,0.1049396,"Phytoplankton"
"RCP 8.5",2100,0.04255516,"Phytoplankton"
